CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,NOISE1,NOISE2,NOISE3,NOISE4,NOISE5,NOISE6,NOISE7,NOISE8,MEDV
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,0.548071313,0.013571952,0.546147839,6.576233535,65.2049048,0.538942934,6.580719481,65.20576425,24
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,0.299037263,0.606930294,0.478900647,6.425352118,78.90239647,0.472314971,6.425164245,78.90451217,21.6
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,0.338723968,0.796637289,0.472389476,7.186146589,61.1073124,0.469818575,7.190928784,61.10878318,34.7
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,0.013802371,0.207718173,0.46173844,7.001606893,45.80619304,0.45866666,6.998008975,45.80505881,33.4
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,0.287858078,0.30355292,0.465696679,7.150286713,54.2041774,0.464939743,7.152998174,54.2043725,36.2
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,0.8874487,0.914578425,0.531334307,6.011988607,85.9084662,0.527148573,6.008705129,85.90260554,18.9
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,0.191062268,0.280959471,0.526459293,6.381986412,94.30854726,0.524239521,6.380989318,94.30878188,15
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,0.139970477,0.10991657,0.524048226,6.010001869,82.90412589,0.524491951,6.010434719,82.90476584,18.9
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,0.115025136,0.076508617,0.531543479,5.894822412,39.00804614,0.526370761,5.894237905,39.00507457,21.7
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,0.854361333,0.484875358,0.544767165,5.94966467,61.80224841,0.542026087,5.958548069,61.80467069,20.4
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,0.106782023,0.963875393,0.54377633,6.099177672,84.50351971,0.541466152,6.10116816,84.50098901,18.2
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,0.408449079,0.04737662,0.545376689,5.841635677,56.50223092,0.544008644,5.834101162,56.50001164,19.9
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,0.058682693,0.435376922,0.545189038,5.464589744,36.60907498,0.547820016,5.456971251,36.60873762,20.2
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,0.33592228,0.147807007,0.53869,5.733022353,69.50705446,0.541707233,5.729183223,69.50145255,18.2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,0.528500893,0.873118349,0.547462739,5.573279556,98.10873105,0.538294411,5.573620931,98.10245252,13.6
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,0.562496149,0.147688282,0.545921987,5.965001267,89.20613534,0.54237552,5.974678886,89.2070468,19.6
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,0.27538143,0.457578094,0.540787533,6.147008547,91.70469231,0.547129572,6.147330182,91.70398601,15.2
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,0.853108859,0.899046067,0.538519851,5.817595259,100.0054667,0.541673127,5.821701976,100.0062574,14.5
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,0.079919654,0.384431446,0.544176519,5.9253013,94.10901436,0.544582063,5.924933416,94.10193469,15.6
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,0.581538043,0.416853579,0.543510685,5.602055845,85.70575563,0.541990135,5.607104165,85.70195358,13.9
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,0.282350973,0.766667091,0.541815733,5.820992993,90.307713,0.541530565,5.815150931,90.30095243,16.6
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28,0.416284632,0.66632893,0.542426797,6.049150062,88.80266436,0.539422962,6.054795605,88.80288267,14.8
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,0.082108053,0.544728263,0.539225515,6.497357956,94.40312329,0.545401958,6.495281898,94.40872761,18.4
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,0.584284417,0.903024917,0.541247009,6.676201013,87.30773072,0.540463019,6.6790824,87.30354055,21
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,0.46534353,0.64221077,0.546765528,5.71822723,94.10443317,0.545618323,5.713365086,94.10659529,12.7
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04,0.750573182,0.328388461,0.538749721,6.081176227,100.0049986,0.541699882,6.081436691,100.0062437,14.5
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,0.713902008,0.215091532,0.547538883,5.951082601,82.00890276,0.543891593,5.951858835,82.00765222,13.2
1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35,0.850928201,0.559075079,0.544802409,5.710066952,95.00106631,0.54455777,5.708163953,95.0005386,13.1
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34,0.186494988,0.881416683,0.546569323,6.096707816,96.90447466,0.54574998,6.101908812,96.90845724,13.5
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,0.939000937,0.756828313,0.500123594,5.942074907,68.20704106,0.506554147,5.939940157,68.20529972,18.9
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,0.475340848,0.344609934,0.500657308,5.850627287,61.40204838,0.50804025,5.848783343,61.40459589,20
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,0.635729107,0.513631634,0.505654312,5.853914026,41.50099575,0.503179548,5.857455049,41.50450897,21
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,0.316812161,0.625419666,0.508639209,5.974408329,30.20571075,0.50149667,5.968595646,30.20818642,24.7
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,0.907385707,0.851951059,0.433675368,6.601224704,21.801761,0.428315288,6.603030395,21.80541865,30.8
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,0.174839831,0.934549193,0.434455012,7.026840746,15.80633505,0.432969619,7.032484513,15.80799705,34.9
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,0.033372123,0.656081326,0.454149341,6.778853717,2.906811212,0.450880288,6.772071535,2.900779714,26.6
